job_nm,job_dependent,sch_months,sch_days_of_month,sch_days_of_week,sch_weeks_of_month,sch_time_hour,sch_time_minute,freq,freq_option,retry,start_date,end_date,active_flag
app_dev_wl_management_kpi_topline_percent_a_d_ext_line,app_wl_management_kpi_mtd_qtd_ytd_a_d,"1,2,3,9",13,,,0,0,daily,,3,1/27/2021,4/26/2022,1
app_dev_wl_management_kpi_topline_percent_a_d_ext_line,app_wl_management_kpi_topline_cust_i_d,,,,,0,0,daily,,3,1/27/2021,4/26/2022,1
app_dev_wl_management_kpi_topline_percent_a_d_ext_line,app_wl_management_kpi_topline_active_i_d,,,,,0,0,daily,,3,1/27/2021,4/26/2022,1
app_dev_wl_management_kpi_topline_percent_a_d_ext_line,app_wl_management_kpi_topline_transact_i_d,,,,,0,0,daily,,3,1/27/2021,4/26/2022,1
app_wl_adau_performance_i_d_ext,app_wl_adau_performance_i_d,,,,,0,0,daily,,3,1/27/2021,1/27/2022,1
app_wl_mkt_staff_incentive_a_d_ext_line,app_wl_mkt_staff_incentive_a_d,,,,,15,0,daily,,3,3/10/2021,3/10/2022,1
cmm_cjdcampaign_define_table_linksof,cmm_mkt_leads_cjdcampaign_linksof_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_define_table_bonus,cmm_mkt_leads_cjdcampaign_bonus_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_define_table_fgf,cmm_mkt_leads_cjdcampaign_fgf_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_define_table_basic,cmm_mkt_leads_cjdcampaign_basic_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_define_table_payment,cmm_mkt_leads_cjdcampaign_payment_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_define_table_topup,cmm_mkt_leads_cjdcampaign_topup_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_define_table_coupon,cmm_mkt_leads_cjdcampaign_coupon_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_define_table_dmoney,cmm_mkt_leads_cjdcampaign_dmoney_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_define_table_paylater,cmm_mkt_leads_cjdcampaign_paylater_a_d,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_basic,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_bonus,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_coupon,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_dmoney,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_fgf,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_linksof,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_paylater,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_payment,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
cmm_cjdcampaign_leads_gen_d,cmm_cjdcampaign_define_table_topup,,,,,0,0,daily,,3,4/26/2021,4/26/2022,1
RPT_CF001,cmm_wl_cf_staff_incentive_core_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_CF002,cmm_wl_cf_staff_incentive_core_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
cmm_wl_inthanin_all_report_a_d,cmm_wl_inthanin_merchant_summary_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
cmm_wl_inthanin_all_report_a_d,cmm_wl_inthanin_settlement_bbl_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
cmm_wl_inthanin_all_report_a_d,cmm_wl_inthanin_settlement_kbank_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
cmm_wl_inthanin_all_report_a_d,cmm_wl_inthanin_settlement_others_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
cmm_wl_inthanin_all_report_a_d,cmm_wl_inthanin_tax_invoice_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_MKT003,app_wl_cfm_incentive_individual_a_m,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_MKT003,app_wl_cfm_incentive_fc_store_a_m,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_MKT003,app_wl_cfm_incentive_store_txn_a_m,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_MKT004,app_wl_cfm_incentive_individual_a_w,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_MKT004,app_wl_cfm_incentive_fc_store_a_w,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_MKT004,app_wl_cfm_incentive_store_txn_a_w,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_CF004,app_cf_plt_report_settlement_a_d,,,,,0,0,daily,,3,5/6/2021,5/6/2022,1
RPT_CF005,leads_cmm_mkt_cf_dunning_letter_update_a_d,,,,,0,0,daily,,3,5/19/2021,5/19/2022,1
RPT_MKT005,app_wl_mkt_staff_incentive_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_MKT006,app_wl_mkt_staff_incentive_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
app_wl_rd_crowd_data_a_d,cmm_cjdcampaign_leads_gen_d,,,,,8,0,daily,,3,6/4/2021,6/4/2022,1
app_wl_rd_crowd_data_a_d,leads_cmm_wl_mkt_auto_leads_i_d,,,,,8,0,daily,,3,6/4/2021,6/4/2021,1
RPT_MKT007,app_wl_staff_incentive_cg_core_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
app_wl_app_tracking_i_d_ext,app_wl_app_tracking_i_d,,,,,0,0,daily,,3,6/11/2021,6/11/2022,1
app_wl_rd_crowd_data_mkt_cf_campaign_a_d,cmm_cjdcampaign_leads_gen_d,,,,,0,0,daily,,3,6/18/2021,6/18/2022,1
app_wl_rd_crowd_data_mkt_cf_campaign_a_d,leads_cmm_wl_mkt_auto_leads_i_d,,,,,0,0,daily,,3,6/18/2021,6/18/2022,1
app_wl_rd_crowd_data_mkt_wl_campaign_a_d,cmm_cjdcampaign_leads_gen_d,,,,,0,0,daily,,3,6/18/2021,6/18/2022,1
app_wl_rd_crowd_data_mkt_wl_campaign_a_d,leads_cmm_wl_mkt_auto_leads_i_d,,,,,0,0,daily,,3,6/18/2021,6/18/2022,1
RPT_THE1003,app_wl_cg_x_dolfin_acquistion_report_a_w,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_fundin_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_fundout_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_merrev_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_mersettle_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_cashback_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_instantdiscount_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_creditadj_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_debitadj_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_the1_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_fin_s_wallet_glexport_timediff_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_chnlcost_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029,ofn_wl_wallet_glexport_wallbal_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_fundin_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_fundout_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_merrev_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_mersettle_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_cashback_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_instantdiscount_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_creditadj_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_debitadj_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_the1_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_fin_s_wallet_glexport_timediff_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_chnlcost_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN029_1,ofn_wl_wallet_glexport_wallbal_a_d,,,,,6,15,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030,ofn_wl_mmgt_wallet_all_txn_dly_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030,ofn_wl_mmgt_wallet_all_txn_mly_wcost_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030,ofn_wl_mmgt_wallet_merpmt_dly_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030,ofn_wl_mmgt_wallet_merpmt_mly_lib_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030,ofn_wl_mmgt_wallet_merpmt_mly_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030_1,ofn_wl_mmgt_wallet_all_txn_dly_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030_1,ofn_wl_mmgt_wallet_all_txn_mly_wcost_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030_1,ofn_wl_mmgt_wallet_merpmt_dly_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030_1,ofn_wl_mmgt_wallet_merpmt_mly_lib_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN030_1,ofn_wl_mmgt_wallet_merpmt_mly_a_d,,,,,7,30,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN031_1,ofn_wl_wallet_glexport_merrev_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN031_2,ofn_wl_wallet_glexport_merrev_a_d,,,,,0,0,daily,,3,4/28/2021,4/28/2022,1
RPT_FIN032,ofn_wl_promos_all_promo_awarded_a_d,,,,,7,0,daily,,3,4/28/2021,4/28/2022,1
